batch_id,copy_time_us,kernel_time_us
878,17.536,18.432
879,9.92,18.016
880,17.152,18.496
881,17.696,18.432
882,9.952,18.464
883,18.112,18.112
884,18.56,13.344
885,17.472,18.464
886,17.376,18.112
887,17.952,18.464
888,18.176,17.44
889,18.496,17.44
890,17.568,11.296
891,10.016,17.024
892,10.56,17.344
893,10.368,16.896
894,9.952,18.208
895,10.464,18.208
896,10.304,11.2
897,10.368,18.72
898,18.208,17.408
899,17.472,18.464
900,18.016,18.432
901,10.016,16.8
902,17.76,18.464
903,17.952,17.472
904,18.464,18.432
905,10.528,18.24
906,10.112,18.016
907,10.4,16.8
908,17.952,17.376
909,10.4,17.28
910,10.176,16.928
911,10.496,18.176
912,9.92,17.44
913,10.464,18.4
914,10.432,17.856
915,9.984,18.976
916,17.728,17.44
917,10.432,17.344
918,16.896,17.024
919,17.216,17.728
920,16.352,10.88
921,15.904,10.88
922,17.152,17.056
923,16.352,19.104
924,16.768,17.728
925,17.12,17.696
926,16.672,18.752
927,16.224,18.944
928,16.96,17.728
929,15.84,19.072
930,16.704,17.728
931,17.568,17.728
932,17.536,17.728
933,17.216,17.632
934,17.088,17.728
935,17.824,18.432
936,10.208,18.336
937,17.888,18.144
938,18.368,17.408
939,17.504,18.464
940,17.728,18.464
941,18.112,18.464
942,17.696,18.464
943,18.144,18.432
944,18.528,17.408
945,9.952,17.952
946,9.92,18.08
947,10.176,18.688
948,18.496,17.408
949,18.016,17.44
950,17.44,18.496
951,18.08,18.432
952,17.632,18.432
953,17.728,18.432
954,10.08,17.728
955,17.856,18.432
956,17.696,18.432
957,18.432,17.44
958,18.016,18.464
959,17.632,18.432
960,18.144,17.44
961,9.952,17.824
962,16.928,18.496
963,9.984,17.856
964,17.568,18.464
965,18.24,18.176
966,17.6,18.432
967,18.048,18.208
968,10.016,19.008
969,10.336,18.72
970,18.144,18.432
971,17.664,18.464
972,12.992,18.272
973,9.952,17.824
974,9.92,19.072
975,9.888,18.432
976,9.952,18.432
977,10.208,18.304
978,10.048,17.824
979,9.952,18.496
980,17.632,18.464
981,9.888,17.984
982,17.632,18.464
983,9.984,18.24
984,10.432,18.464
985,10.336,19.296
986,10.112,19.328
987,10.048,11.296
988,9.952,18.176
989,17.536,17.728
990,17.024,17.728
991,17.6,17.728
992,17.504,17.696
993,17.088,17.728
994,17.216,17.696
995,16.672,17.728
996,17.504,17.728
997,17.056,17.728
998,17.536,17.728
999,17.184,17.728
1000,17.472,17.728
1001,17.088,17.728
1002,16.864,17.728
1003,17.344,17.728
1004,17.088,17.728
1005,17.056,17.728
1006,17.216,17.728
1007,17.056,17.696
1008,17.216,17.728
